Training Epoch 1 --- Training Accuracy:  59.4%, Validation Accuracy:  46.9%,  Validation Loss: 0.693
Training Epoch 2 --- Training Accuracy:  37.5%, Validation Accuracy:  50.0%,  Validation Loss: 0.693
Training Epoch 3 --- Training Accuracy:  40.6%, Validation Accuracy:  46.9%,  Validation Loss: 0.693
Training Epoch 4 --- Training Accuracy:  37.5%, Validation Accuracy:  59.4%,  Validation Loss: 0.692
Training Epoch 5 --- Training Accuracy:  34.4%, Validation Accuracy:  62.5%,  Validation Loss: 0.691
Training Epoch 6 --- Training Accuracy:  40.6%, Validation Accuracy:  59.4%,  Validation Loss: 0.690
Training Epoch 7 --- Training Accuracy:  40.6%, Validation Accuracy:  46.9%,  Validation Loss: 0.692
Training Epoch 8 --- Training Accuracy:  50.0%, Validation Accuracy:  56.2%,  Validation Loss: 0.692
Training Epoch 9 --- Training Accuracy:  43.8%, Validation Accuracy:  46.9%,  Validation Loss: 0.695
Training Epoch 10 --- Training Accuracy:  43.8%, Validation Accuracy:  56.2%,  Validation Loss: 0.690
Training Epoch 11 --- Training Accuracy:  43.8%, Validation Accuracy:  50.0%,  Validation Loss: 0.690
Training Epoch 12 --- Training Accuracy:  43.8%, Validation Accuracy:  59.4%,  Validation Loss: 0.686
Training Epoch 13 --- Training Accuracy:  43.8%, Validation Accuracy:  50.0%,  Validation Loss: 0.692
Training Epoch 14 --- Training Accuracy:  43.8%, Validation Accuracy:  50.0%,  Validation Loss: 0.693
Training Epoch 15 --- Training Accuracy:  43.8%, Validation Accuracy:  50.0%,  Validation Loss: 0.698
Training Epoch 16 --- Training Accuracy:  56.2%, Validation Accuracy:  56.2%,  Validation Loss: 0.687
Training Epoch 17 --- Training Accuracy:  56.2%, Validation Accuracy:  59.4%,  Validation Loss: 0.686
Training Epoch 18 --- Training Accuracy:  56.2%, Validation Accuracy:  56.2%,  Validation Loss: 0.683
Training Epoch 19 --- Training Accuracy:  53.1%, Validation Accuracy:  53.1%,  Validation Loss: 0.690
Training Epoch 20 --- Training Accuracy:  53.1%, Validation Accuracy:  53.1%,  Validation Loss: 0.701
Training Epoch 21 --- Training Accuracy:  53.1%, Validation Accuracy:  56.2%,  Validation Loss: 0.698
Training Epoch 22 --- Training Accuracy:  53.1%, Validation Accuracy:  59.4%,  Validation Loss: 0.692
Training Epoch 23 --- Training Accuracy:  53.1%, Validation Accuracy:  59.4%,  Validation Loss: 0.693
Training Epoch 24 --- Training Accuracy:  53.1%, Validation Accuracy:  56.2%,  Validation Loss: 0.695
Training Epoch 25 --- Training Accuracy:  53.1%, Validation Accuracy:  53.1%,  Validation Loss: 0.689
Training Epoch 26 --- Training Accuracy:  53.1%, Validation Accuracy:  53.1%,  Validation Loss: 0.721
Training Epoch 27 --- Training Accuracy:  53.1%, Validation Accuracy:  50.0%,  Validation Loss: 0.705
Training Epoch 28 --- Training Accuracy:  56.2%, Validation Accuracy:  56.2%,  Validation Loss: 0.714
Training Epoch 29 --- Training Accuracy:  59.4%, Validation Accuracy:  56.2%,  Validation Loss: 0.717
Training Epoch 30 --- Training Accuracy:  62.5%, Validation Accuracy:  53.1%,  Validation Loss: 0.714
Training Epoch 31 --- Training Accuracy:  59.4%, Validation Accuracy:  56.2%,  Validation Loss: 0.705
Training Epoch 32 --- Training Accuracy:  59.4%, Validation Accuracy:  50.0%,  Validation Loss: 0.748
Training Epoch 33 --- Training Accuracy:  65.6%, Validation Accuracy:  37.5%,  Validation Loss: 0.727
Training Epoch 34 --- Training Accuracy:  65.6%, Validation Accuracy:  53.1%,  Validation Loss: 0.756
Training Epoch 35 --- Training Accuracy:  68.8%, Validation Accuracy:  40.6%,  Validation Loss: 0.782
Training Epoch 36 --- Training Accuracy:  68.8%, Validation Accuracy:  53.1%,  Validation Loss: 0.710
Training Epoch 37 --- Training Accuracy:  68.8%, Validation Accuracy:  50.0%,  Validation Loss: 0.739
Training Epoch 38 --- Training Accuracy:  68.8%, Validation Accuracy:  53.1%,  Validation Loss: 0.779
Training Epoch 39 --- Training Accuracy:  71.9%, Validation Accuracy:  50.0%,  Validation Loss: 0.749
Training Epoch 40 --- Training Accuracy:  68.8%, Validation Accuracy:  46.9%,  Validation Loss: 0.820
