Training Epoch 1 --- Training Accuracy:  62.5%, Validation Accuracy:  46.9%,  Validation Loss: 0.694
Training Epoch 2 --- Training Accuracy:  37.5%, Validation Accuracy:  50.0%,  Validation Loss: 0.688
Training Epoch 3 --- Training Accuracy:  37.5%, Validation Accuracy:  56.2%,  Validation Loss: 0.679
Training Epoch 4 --- Training Accuracy:  37.5%, Validation Accuracy:  50.0%,  Validation Loss: 0.652
Training Epoch 5 --- Training Accuracy:  90.6%, Validation Accuracy:  87.5%,  Validation Loss: 0.539
Training Epoch 6 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.368
Training Epoch 7 --- Training Accuracy: 100.0%, Validation Accuracy:  90.6%,  Validation Loss: 0.293
Training Epoch 8 --- Training Accuracy: 100.0%, Validation Accuracy:  96.9%,  Validation Loss: 0.103
Training Epoch 9 --- Training Accuracy: 100.0%, Validation Accuracy:  93.8%,  Validation Loss: 0.134
Training Epoch 10 --- Training Accuracy: 100.0%, Validation Accuracy: 100.0%,  Validation Loss: 0.037
Training Epoch 11 --- Training Accuracy: 100.0%, Validation Accuracy: 100.0%,  Validation Loss: 0.033
Training Epoch 12 --- Training Accuracy: 100.0%, Validation Accuracy: 100.0%,  Validation Loss: 0.027
Training Epoch 13 --- Training Accuracy: 100.0%, Validation Accuracy: 100.0%,  Validation Loss: 0.021
Training Epoch 14 --- Training Accuracy: 100.0%, Validation Accuracy: 100.0%,  Validation Loss: 0.019
Training Epoch 15 --- Training Accuracy: 100.0%, Validation Accuracy: 100.0%,  Validation Loss: 0.019
Training Epoch 16 --- Training Accuracy: 100.0%, Validation Accuracy: 100.0%,  Validation Loss: 0.008
Training Epoch 17 --- Training Accuracy: 100.0%, Validation Accuracy: 100.0%,  Validation Loss: 0.009
Training Epoch 18 --- Training Accuracy: 100.0%, Validation Accuracy: 100.0%,  Validation Loss: 0.009
Training Epoch 19 --- Training Accuracy: 100.0%, Validation Accuracy: 100.0%,  Validation Loss: 0.005
Training Epoch 20 --- Training Accuracy: 100.0%, Validation Accuracy: 100.0%,  Validation Loss: 0.007
Training Epoch 21 --- Training Accuracy: 100.0%, Validation Accuracy: 100.0%,  Validation Loss: 0.007
Training Epoch 22 --- Training Accuracy: 100.0%, Validation Accuracy: 100.0%,  Validation Loss: 0.003
Training Epoch 23 --- Training Accuracy: 100.0%, Validation Accuracy: 100.0%,  Validation Loss: 0.004
Training Epoch 24 --- Training Accuracy: 100.0%, Validation Accuracy: 100.0%,  Validation Loss: 0.004
Training Epoch 25 --- Training Accuracy: 100.0%, Validation Accuracy: 100.0%,  Validation Loss: 0.002
Training Epoch 26 --- Training Accuracy: 100.0%, Validation Accuracy: 100.0%,  Validation Loss: 0.004
Training Epoch 27 --- Training Accuracy: 100.0%, Validation Accuracy: 100.0%,  Validation Loss: 0.003
Training Epoch 28 --- Training Accuracy: 100.0%, Validation Accuracy: 100.0%,  Validation Loss: 0.001
Training Epoch 29 --- Training Accuracy: 100.0%, Validation Accuracy: 100.0%,  Validation Loss: 0.002
Training Epoch 30 --- Training Accuracy: 100.0%, Validation Accuracy: 100.0%,  Validation Loss: 0.002
Training Epoch 31 --- Training Accuracy: 100.0%, Validation Accuracy: 100.0%,  Validation Loss: 0.001
Training Epoch 32 --- Training Accuracy: 100.0%, Validation Accuracy: 100.0%,  Validation Loss: 0.002
Training Epoch 33 --- Training Accuracy: 100.0%, Validation Accuracy: 100.0%,  Validation Loss: 0.002
Training Epoch 34 --- Training Accuracy: 100.0%, Validation Accuracy: 100.0%,  Validation Loss: 0.001
Training Epoch 35 --- Training Accuracy: 100.0%, Validation Accuracy: 100.0%,  Validation Loss: 0.001
Training Epoch 36 --- Training Accuracy: 100.0%, Validation Accuracy: 100.0%,  Validation Loss: 0.001
Training Epoch 37 --- Training Accuracy: 100.0%, Validation Accuracy: 100.0%,  Validation Loss: 0.001
Training Epoch 38 --- Training Accuracy: 100.0%, Validation Accuracy: 100.0%,  Validation Loss: 0.002
Training Epoch 39 --- Training Accuracy: 100.0%, Validation Accuracy: 100.0%,  Validation Loss: 0.001
Training Epoch 40 --- Training Accuracy: 100.0%, Validation Accuracy: 100.0%,  Validation Loss: 0.000
